,color,lat,lon,name,route,serviceend,servicestart,yearopened
BLL07,rail,13.789113,100.574126,สุทธิสาร,BL,24:00,6:00,2004
GRL19,rail,13.772429999999998,100.542058,สนามเป้า,GR,24:00,5:30,1999
PPL08,rail,13.8658298,100.49460429999999,แยกนนทบุรี1,PP,24:00,6:00,2015
BRT07,rail,13.682329000000001,100.525417,วัดดอกไม้,BR,24:00,6:00,2010
PPL13,rail,13.829542300000002,100.5269465,วงศ์สว่าง,PP,24:00,6:00,2015
GRL56,rail,13.714163000000001,100.476805,ตลาดพลู,GR,24:00,5:30,2009
BRT11,rail,13.715815,100.478854,ราชพฤกษ์,BR,24:00,6:00,2010
GRL37,rail,13.661176999999999,100.60181700000001,แบริ่ง,GR,24:00,5:30,2011
GRL34,rail,13.689303,100.60898399999999,ปุณณวิถี,GR,24:00,5:30,2011
GRL36,rail,13.668057999999998,100.604639,บางนา,GR,24:00,5:30,2011
PPL02,rail,13.8748293,100.4194059,สามแยกบางใหญ่,PP,24:00,6:00,2015
BLL03,rail,13.802220000000002,100.553162,สวนจตุจักร,BL,24:00,6:00,2004
PPL12,rail,13.839209900000002,100.5155467,แยกติวานนท์,PP,24:00,6:00,2015
GRL57,rail,13.7130448,100.4693803,วุฒากาศ,GR,24:00,5:30,2009
PPL09,rail,13.861851000000001,100.50428199999999,บางกระสอ,PP,24:00,6:00,2015
BLL00,rail,13.8060906,100.5312593,เตาปูน,BL,24:00,6:00,2017
PPL06,rail,13.8704554,100.4673311,ไทรม้า,PP,24:00,6:00,2015
BLL05,rail,13.806034,100.57356800000001,ลาดพร้าว,BL,24:00,6:00,2004
GRL20,rail,13.762687,100.537112,อนุสาวรีย์ชัยสมรภูมิ,GR,24:00,5:30,1999
ARL03,rail,13.743043,100.599597,รามคำแหง,AR,24:00,5:30,2008
GRL45,rail,13.576623000000001,100.605175,สายลวด,GR,24:00,5:30,2018
BRT08,rail,13.688187,100.51541800000001,สะพานพระราม9,BR,24:00,6:00,2010
GRL23,rail,13.745513,100.534472,สยาม,GR,24:00,5:30,1999
GRL35,rail,13.679858,100.60943499999999,อุดมสุข,GR,24:00,5:30,2011
ARL07,rail,13.694420999999998,100.75140999999999,ท่าอากาศยานสุวรรณภูมิ,AR,24:00,5:30,2008
GRL39,rail,13.63677,100.59180699999999,ปู่เจ้าสมิงพราย,GR,24:00,5:30,2018
ARL02,rail,13.750922000000001,100.560812,มักกะสัน,AR,24:00,5:30,2008
GRL47,rail,13.746493,100.529097,สนามกีฬาแห่งชาติ,GR,24:00,5:30,1999
BLL09,rail,13.767605999999999,100.571208,ศูนย์วัฒนธรรมแห่งประเทศไทย,BL,24:00,6:00,2004
BRT04,rail,13.696411999999999,100.545276,นราราม3,BR,24:00,6:00,2010
GRL38,rail,13.647488000000001,100.596292,สำโรง,GR,24:00,5:30,2017
GRL18,rail,13.779385999999999,100.544563,อารีย์,GR,24:00,5:30,1999
GRL49,rail,13.728562,100.53435999999999,ศาลาแดง,GR,24:00,5:30,1999
GRL25,rail,13.743032999999999,100.549031,เพลินจิต,GR,24:00,5:30,1999
ARL05,rail,13.732757000000001,100.690706,บ้านทับช้าง,AR,24:00,5:30,2008
BLL14,rail,13.722292999999999,100.553956,คลองเตย,BL,24:00,6:00,2004
GRL32,rail,13.705678,100.601023,อ่อนนุช,GR,24:00,5:30,1999
BLL06,rail,13.79924,100.574555,รัชดาภิเษก,BL,24:00,6:00,2004
GRL53,rail,13.720917000000002,100.50239300000001,กรุงธนบุรี,GR,24:00,5:30,2009
BRT05,rail,13.674192999999999,100.543136,วัดด่าน,BR,24:00,6:00,2010
GRL44,rail,13.585196,100.608244,แพรกษา,GR,24:00,5:30,2018
BLL18,rail,13.737759,100.51706999999999,หัวลำโพง,BL,24:00,6:00,2004
GRL31,rail,13.715110999999998,100.591335,พระโขนง,GR,24:00,5:30,1999
GRL40,rail,13.622036999999999,100.589887,ช้างเอราวัณ,GR,24:00,5:30,2018
ARL00,rail,13.756673999999999,100.534816,พญาไท,AR,24:00,5:30,2008
GRL24,rail,13.744054,100.543077,ชิดลม,GR,24:00,5:30,1999
GRL28,rail,13.730432999999998,100.569749,พร้อมพงษ์,GR,24:00,5:30,1999
BLL11,rail,13.748306,100.563183,เพชรบุรี,BL,24:00,6:00,2004
GRL16,rail,13.802319,100.55364,หมอชิต,GR,24:00,5:30,1999
GRL55,rail,13.719176000000001,100.485624,โพธิ์นิมิตร,GR,24:00,5:30,2009
GRL26,rail,13.740530999999999,100.555415,นานา,GR,24:00,5:30,1999
ARL01,rail,13.755038,100.542144,ราชปรารภ,AR,24:00,5:30,2008
PPL05,rail,13.874684,100.4567527,บางรักน้อยท่าอิฐ,PP,24:00,6:00,2015
ARL04,rail,13.738051,100.644722,หัวหมาก,AR,24:00,5:30,2008
PPL15,rail,13.805991800000001,100.5308243,เตาปูน,PP,24:00,6:00,2015
BLL04,rail,13.813077,100.56061899999999,พหลโยธิน,BL,24:00,6:00,2004
BLL01,rail,13.803116000000001,100.539236,บางซื่อ,BL,24:00,6:00,2004
PPL01,rail,13.8808288,100.4094062,ตลาดบางใหญ่,PP,24:00,6:00,2015
BLL02,rail,13.797573000000002,100.547218,กำแพงเพชร,BL,24:00,6:00,2004
BLL12,rail,13.738114000000001,100.561423,สุขุมวิท,BL,24:00,6:00,2004
GRL30,rail,13.719593,100.585145,เอกมัย,GR,24:00,5:30,1999
PPL04,rail,13.876772699999998,100.4456107,บางรักใหญ่,PP,24:00,6:00,2015
ARL06,rail,13.727691,100.749092,ลาดกระบัง,AR,24:00,5:30,2008
BRT09,rail,13.690220000000002,100.504239,เจริญราษฏร์,BR,24:00,6:00,2010
GRL33,rail,13.696776999999999,100.605315,บางจาก,GR,24:00,5:30,2011
GRL22,rail,13.751797,100.53160799999999,ราชเทวี,GR,24:00,5:30,1999
PPL03,rail,13.875913,100.433922,บางพลู,PP,24:00,6:00,2015
GRL58,rail,13.7210312,100.4579333,บางหว้า,GR,24:00,5:30,2009
BLL08,rail,13.779193,100.573483,ห้วยขวาง,BL,24:00,6:00,2004
PPL00,rail,13.8945568,100.4084733,คลองบางไผ่,PP,24:00,6:00,2015
GRL48,rail,13.739187,100.53941800000001,ราชดำริ,GR,24:00,5:30,1999
GRL46,rail,13.56731,100.607675,เคหะสมุทรปราการ,GR,24:00,5:30,2018
BRT10,rail,13.693874,100.50009200000001,สะพานพระราม3,BR,24:00,6:00,2010
GRL17,rail,13.793875,100.54977199999999,สะพานควาย,GR,24:00,5:30,1999
BRT01,rail,13.717206,100.532595,อาคารสงเคราะห์,BR,24:00,6:00,2010
BRT03,rail,13.704699,100.538946,ถนนจันทน์,BR,24:00,6:00,2010
GRL54,rail,13.721104,100.495264,วงเวียนใหญ่,GR,24:00,5:30,2009
GRL41,rail,13.610651,100.594018,โรงเรียนนายเรือ,GR,24:00,5:30,2018
PPL11,rail,13.849091099999999,100.5151845,กระทรวงสาธารณสุข,PP,24:00,6:00,2015
BRT06,rail,13.674719,100.534215,วัดปริวาศ,BR,24:00,6:00,2010
GRL43,rail,13.592803,100.608625,ศรีนครินทร์,GR,24:00,5:30,2018
BLL15,rail,13.725169000000001,100.54739000000001,ลุมพินี,BL,24:00,6:00,2004
BLL10,rail,13.758519,100.565457,พระราม9,BL,24:00,6:00,2004
PPL14,rail,13.820755499999999,100.53256309999999,บางซ่อน,PP,24:00,6:00,2015
GRL50,rail,13.723761999999999,100.52935500000001,ช่องนนทรี,GR,24:00,5:30,1999
GRL21,rail,13.756914000000002,100.533861,พญาไท,GR,24:00,5:30,1999
BRT02,rail,13.712411999999999,100.534998,เย็นอากาศ,BR,24:00,6:00,2010
GRL42,rail,13.601567999999999,100.59709699999999,ปากน้ำ,GR,24:00,5:30,2018
GRL29,rail,13.724242000000002,100.57850400000001,ทองหล่อ,GR,24:00,5:30,1999
BLL16,rail,13.729301999999999,100.536436,สีลม,BL,24:00,6:00,2004
PPL10,rail,13.860362300000002,100.5130793,ศูนย์ราชการนนทบุรี,PP,24:00,6:00,2015
GRL52,rail,13.718779999999999,100.51410899999999,สะพานตากสิน,GR,24:00,5:30,1999
BLL17,rail,13.732798,100.529065,สามย่าน,BL,24:00,6:00,2004
GRL27,rail,13.737082000000001,100.560393,อโศก,GR,24:00,5:30,1999
BRT00,rail,13.72148,100.53045999999999,สาทร,BR,24:00,6:00,2010
PPL07,rail,13.8704448,100.4805385,สะพานพระนั่งเกล้า,PP,24:00,6:00,2015
GRL51,rail,13.719291,100.52179100000001,สุรศักดิ์,GR,24:00,5:30,1999
BLL13,rail,13.723251999999999,100.56009300000001,ศูนย์การประชุมแห่งชาติสิริกิติ์,BL,24:00,6:00,2004
